region;pop
AL;1425342
AL0;1425342
AL01;399599
AL011;55402
AL012;143561
AL013;36680
AL014;61723
AL015;102233
AL02;594008
AL021;135367
AL022;458641
AL03;431735
AL031;60856
AL032;143256
AL033;30453
AL034;103057
AL035;94113
ALX;0
ALXX;0
ALXXX;0
AT;4522292
AT1;1984110
AT11;150097
AT111;18996
AT112;81719
AT113;49382
AT12;855113
AT121;123908
AT122;132909
AT123;79252
AT124;109151
AT125;63248
AT126;169696
AT127;176949
AT13;978900
AT130;978900
AT2;918428
AT21;287605
AT211;149407
AT212;62921
AT213;75277
AT22;630823
AT221;226183
AT222;40683
AT223;80600
AT224;134310
AT225;98754
AT226;50293
AT3;1619754
AT31;750465
AT311;144653
AT312;302052
AT313;104302
AT314;78420
AT315;121038
AT32;285243
AT321;10179
AT322;85613
AT323;189451
AT33;384035
AT331;16570
AT332;158923
AT333;24588
AT334;52713
AT335;131241
AT34;200011
AT341;46050
AT342;153961
BE;5841215
BE1;621873
BE10;621873
BE100;621873
BE2;3351290
BE21;942890
BE211;534038
BE212;176660
BE213;232192
BE22;441541
BE221;217778
BE222;120872
BE223;102891
BE23;772032
BE231;149377
BE232;102780
BE233;43039
BE234;284343
BE235;63035
BE236;129458
BE24;588828
BE241;330126
BE242;258702
BE25;605999
BE251;143660
BE252;25862
BE253;53431
BE254;147795
BE255;79919
BE256;77598
BE257;46524
BE258;31210
BE3;1868052
BE31;209323
BE310;209323
BE32;692106
BE321;44626
BE322;222202
BE323;133946
BE324;39771
BE325;98582
BE326;77983
BE327;74996
BE33;567742
BE331;57958
BE332;321328
BE334;41939
BE335;107240
BE336;39277
BE34;144898
BE341;31773
BE342;24977
BE343;28695
BE344;32035
BE345;27418
BE35;253983
BE351;56967
BE352;163029
BE353;33987
BG;3581836
BG3;1773599
BG31;373046
BG311;42466
BG312;64880
BG313;81236
BG314;121576
BG315;62888
BG32;397975
BG321;120167
BG322;55300
BG323;110451
BG324;56777
BG325;55280
BG33;474694
BG331;241173
BG332;88431
BG333;88340
BG334;56750
BG34;527884
BG341;211475
BG342;94697
BG343;59927
BG344;161785
BG4;1808237
BG41;1083461
BG411;691325
BG412;115422
BG413;155463
BG414;61258
BG415;59993
BG42;724776
BG421;346665
BG422;115346
BG423;129061
BG424;53602
BG425;80102
CH;4337170
CH0;4337170
CH01;844124
CH011;409909
CH012;174271
CH013;259944
CH02;954707
CH021;529304
CH022;160630
CH023;137588
CH024;90001
CH025;37184
CH03;589537
CH031;100847
CH032;147578
CH033;341112
CH04;772596
CH040;772596
CH05;589627
CH051;20044
CH052;41580
CH053;27507
CH054;7825
CH055;254695
CH056;99314
CH057;138662
CH06;406229
CH061;207144
CH062;17964
CH063;78267
CH064;18772
CH065;21034
CH066;63048
CH07;180350
CH070;180350
CY;453534
CY0;453534
CY00;453534
CY000;453534
CZ;5421943
CZ0;5421943
CZ01;676991
CZ010;676991
CZ02;699942
CZ020;699942
CZ03;622120
CZ031;325615
CZ032;296505
CZ04;562272
CZ041;149070
CZ042;413202
CZ05;767460
CZ051;225029
CZ052;279463
CZ053;262968
CZ06;862899
CZ063;256164
CZ064;606735
CZ07;619018
CZ071;322412
CZ072;296606
CZ08;611241
CZ080;611241
DE;42129098
DE1;5583954
DE11;2081822
DE111;318117
DE112;197310
DE113;267690
DE114;129496
DE115;274624
DE116;215853
DE117;62790
DE118;171462
DE119;55783
DE11A;98041
DE11B;66407
DE11C;66688
DE11D;157561
DE12;1413271
DE121;28663
DE122;152173
DE123;223416
DE124;116479
DE125;83847
DE126;155651
DE127;71447
DE128;278640
DE129;63959
DE12A;79351
DE12B;100484
DE12C;59161
DE13;1151543
DE131;120862
DE132;133647
DE133;84164
DE134;216133
DE135;69874
DE136;107112
DE137;69919
DE138;146968
DE139;116689
DE13A;86175
DE14;937318
DE141;144753
DE142;117174
DE143;95442
DE144;63877
DE145;97596
DE146;99892
DE147;110218
DE148;143090
DE149;65276
DE2;6617046
DE21;2379713
DE211;67921
DE212;760563
DE213;32194
DE214;56311
DE215;53776
DE216;64753
DE217;77375
DE218;71843
DE219;65363
DE21A;68553
DE21B;87900
DE21C;111509
DE21D;45508
DE21E;60236
DE21F;51011
DE21G;57154
DE21H;176037
DE21I;48372
DE21J;63060
DE21K;131931
DE21L;70402
DE21M;89705
DE21N;68236
DE22;620769
DE221;37459
DE222;27190
DE223;23703
DE224;59828
DE225;39299
DE226;60546
DE227;78982
DE228;96929
DE229;38791
DE22A;60582
DE22B;50357
DE22C;47103
DE23;557885
DE231;21391
DE232;78778
DE233;22091
DE234;51415
DE235;63709
DE236;66515
DE237;47389
DE238;96885
DE239;73557
DE23A;36155
DE24;540590
DE241;40077
DE242;38244
DE243;21030
DE244;23730
DE245;73423
DE246;52303
DE247;43911
DE248;58432
DE249;48342
DE24A;33756
DE24B;36322
DE24C;33811
DE24D;37209
DE25;899524
DE251;21776
DE252;56515
DE253;65446
DE254;265235
DE255;20913
DE256;91755
DE257;69017
DE258;60653
DE259;86595
DE25A;50393
DE25B;63797
DE25C;47429
DE26;664742
DE261;36361
DE262;27257
DE263;66803
DE264;87743
DE265;52375
DE266;39989
DE267;42075
DE268;45293
DE269;64638
DE26A;63207
DE26B;57431
DE26C;81570
DE27;953823
DE271;150360
DE272;22526
DE273;34932
DE274;22208
DE275;67494
DE276;127707
DE277;48121
DE278;62739
DE279;88365
DE27A;41543
DE27B;70675
DE27C;72112
DE27D;65923
DE27E;79118
DE3;1865218
DE30;1865218
DE300;1865218
DE4;1277962
DE40;1277962
DE401;36607
DE402;50862
DE403;29652
DE404;93176
DE405;93432
DE406;85985
DE407;51355
DE408;82449
DE409;98665
DE40A;107965
DE40B;55647
DE40C;91187
DE40D;49717
DE40E;109332
DE40F;38357
DE40G;57841
DE40H;85201
DE40I;60532
DE5;344201
DE50;344201
DE501;287178
DE502;57023
DE6;943279
DE60;943279
DE600;943279
DE7;3182820
DE71;2037152
DE711;78439
DE712;386578
DE713;65677
DE714;145370
DE715;136732
DE716;149798
DE717;137643
DE718;121771
DE719;213119
DE71A;121738
DE71B;48848
DE71C;180434
DE71D;95135
DE71E;155870
DE72;530659
DE721;137503
DE722;128416
DE723;86493
DE724;125465
DE725;52782
DE73;615009
DE731;102818
DE732;112363
DE733;60207
DE734;120611
DE735;89732
DE736;78505
DE737;50773
DE8;815526
DE80;815526
DE803;106090
DE804;49696
DE80J;131514
DE80K;108434
DE80L;114264
DE80M;79028
DE80N;120349
DE80O;106151
DE9;4046037
DE91;805050
DE911;125776
DE912;52460
DE913;62398
DE914;88228
DE916;68693
DE917;46024
DE918;66995
DE91A;68048
DE91B;60410
DE91C;166018
DE92;1094833
DE922;109213
DE923;76669
DE925;141270
DE926;35547
DE927;61091
DE928;80554
DE929;590489
DE93;869760
DE931;90910
DE932;101171
DE933;129058
DE934;24629
DE935;94336
DE936;58002
DE937;81465
DE938;70422
DE939;102681
DE93A;47252
DE93B;69834
DE94;1276394
DE941;39246
DE942;25029
DE943;88058
DE944;85370
DE945;38645
DE946;63953
DE947;96378
DE948;84246
DE949;160622
DE94A;50525
DE94B;68504
DE94C;85545
DE94D;66017
DE94E;180343
DE94F;70719
DE94G;44168
DE94H;29026
DEA;9141247
DEA1;2666184
DEA11;321370
DEA12;251826
DEA13;299891
DEA14;116402
DEA15;132567
DEA16;88390
DEA17;107195
DEA18;56450
DEA19;81939
DEA1A;180967
DEA1B;157003
DEA1C;250942
DEA1D;232185
DEA1E;153037
DEA1F;236020
DEA2;2280537
DEA22;172140
DEA23;557390
DEA24;83953
DEA26;133273
DEA27;240560
DEA28;98119
DEA29;129049
DEA2A;138215
DEA2B;145915
DEA2C;306364
DEA2D;275559
DEA3;1333435
DEA31;60377
DEA32;130613
DEA33;164063
DEA34;185774
DEA35;111750
DEA36;314884
DEA37;225342
DEA38;140632
DEA4;1041615
DEA41;173102
DEA42;182723
DEA43;127545
DEA44;70387
DEA45;176986
DEA46;157165
DEA47;153707
DEA5;1819476
DEA51;187456
DEA52;298911
DEA53;96472
DEA54;91362
DEA55;79654
DEA56;166711
DEA57;130058
DEA58;208247
DEA59;66809
DEA5A;139353
DEA5B;151903
DEA5C;202540
DEB;2070899
DEB1;758168
DEB11;58298
DEB12;66053
DEB13;64923
DEB14;80958
DEB15;40840
DEB17;108545
DEB18;92707
DEB1A;61780
DEB1B;101665
DEB1C;30615
DEB1D;51784
DEB2;267549
DEB21;56475
DEB22;56160
DEB23;49189
DEB24;30205
DEB25;75520
DEB3;1045182
DEB31;25059
DEB32;49527
DEB33;24607
DEB34;85767
DEB35;112191
DEB36;27239
DEB37;20546
DEB38;26106
DEB39;42304
DEB3A;17250
DEB3B;65205
DEB3C;67800
DEB3D;37994
DEB3E;64736
DEB3F;53901
DEB3G;35345
DEB3H;56102
DEB3I;78285
DEB3J;107140
DEB3K;48078
DEC;502468
DEC0;502468
DEC01;167097
DEC02;52211
DEC03;66868
DEC04;99181
DEC05;73076
DEC06;44035
DED;2065249
DED2;806851
DED21;279168
DED2C;151674
DED2D;128957
DED2E;122720
DED2F;124332
DED4;725419
DED41;124524
DED42;171063
DED43;152765
DED44;115728
DED45;161339
DED5;532979
DED51;301695
DED52;131673
DED53;99611
DEE;1114920
DEE0;1114920
DEE01;41209
DEE02;123210
DEE03;120174
DEE04;41745
DEE05;80862
DEE06;44989
DEE07;85699
DEE08;90188
DEE09;108598
DEE0A;68657
DEE0B;93022
DEE0C;96762
DEE0D;56321
DEE0E;63484
DEF;1480890
DEF0;1480890
DEF01;45260
DEF02;126596
DEF03;112498
DEF04;40473
DEF05;67475
DEF06;100854
DEF07;84665
DEF08;103850
DEF09;160980
DEF0A;66199
DEF0B;139128
DEF0C;101599
DEF0D;140121
DEF0E;66266
DEF0F;124926
DEG;1077382
DEG0;1077382
DEG01;109937
DEG02;48180
DEG03;55715
DEG04;18780
DEG05;33679
DEG06;49787
DEG07;42022
DEG09;51457
DEG0A;37347
DEG0B;62470
DEG0C;67750
DEG0D;34767
DEG0E;31573
DEG0F;52803
DEG0G;41432
DEG0H;29326
DEG0I;52361
DEG0J;41688
DEG0K;40422
DEG0L;49477
DEG0M;45591
DEG0N;21417
DEG0P;59401
DK;2925845
DK0;2925845
DK01;939719
DK011;404140
DK012;279064
DK013;236540
DK014;19975
DK02;419992
DK021;126818
DK022;293174
DK03;611450
DK031;250335
DK032;361115
DK04;662718
DK041;212283
DK042;450435
DK05;291966
DK050;291966
EE;699699
EE0;699699
EE00;699699
EE001;323653
EE004;77188
EE006;62398
EE007;72380
EE008;164080
EFTA;7194913
EL;5503077
EL3;1958740
EL30;1958740
EL301;315023
EL302;252825
EL303;483415
EL304;282608
EL305;281662
EL306;85479
EL307;257728
EL4;608358
EL41;107854
EL411;56844
EL412;22982
EL413;28028
EL42;174224
EL421;108427
EL422;65797
EL43;326280
EL431;162142
EL432;37750
EL433;45232
EL434;81156
EL5;1572931
EL51;300693
EL511;72128
EL512;55409
EL513;55367
EL514;50215
EL515;67574
EL52;968100
EL521;71913
EL522;578579
EL523;39317
EL524;69252
EL525;67139
EL526;86747
EL527;55153
EL53;134580
EL531;85783
EL532;23891
EL533;24906
EL54;169558
EL541;60896
EL542;22819
EL543;85843
EL6;1363048
EL61;365821
EL611;117475
EL612;144295
EL613;104051
EL62;103374
EL621;20162
EL622;51973
EL623;19482
EL624;11757
EL63;329548
EL631;100323
EL632;153367
EL633;75858
EL64;277263
EL641;59579
EL642;105535
EL643;9323
EL644;81781
EL645;21045
EL65;287042
EL651;88325
EL652;75344
EL653;123373
ES;24133301
ES1;2228853
ES11;1398445
ES111;584126
ES112;168868
ES113;159062
ES114;486389
ES12;531870
ES120;531870
ES13;298538
ES130;298538
ES2;2296121
ES21;1130089
ES211;168390
ES212;368282
ES213;593417
ES22;332079
ES220;332079
ES23;160285
ES230;160285
ES24;673668
ES241;109199
ES242;65754
ES243;498715
ES3;3513186
ES30;3513186
ES300;3513186
ES4;2769978
ES41;1216142
ES411;78866
ES412;177244
ES413;235628
ES414;80668
ES415;169817
ES416;76589
ES417;44238
ES418;266730
ES419;86362
ES42;1018793
ES421;195050
ES422;249335
ES423;98822
ES424;129210
ES425;346376
ES43;535043
ES431;339132
ES432;195911
ES5;7066464
ES51;3909186
ES511;2901398
ES512;385193
ES513;214511
ES514;408084
ES52;2552416
ES521;950373
ES522;289598
ES523;1312445
ES53;604862
ES531;83041
ES532;472425
ES533;49396
ES6;5130209
ES61;4294733
ES611;353519
ES612;632142
ES613;399722
ES614;467384
ES615;267913
ES616;316894
ES617;856861
ES618;1000298
ES62;751952
ES620;751952
ES63;41557
ES630;41557
ES64;41967
ES640;41967
ES7;1128490
ES70;1128490
ES703;5583
ES704;60920
ES705;440859
ES706;10973
ES707;43242
ES708;76697
ES709;490216
EU27_2007;: 
EU27_2020;228763757 ep
EU28;: 
FI;2797030
FI1;2782025
FI19;693977
FI193;138186
FI194;94552
FI195;89126
FI196;109395
FI197;262718
FI1B;864498
FI1B1;864498
FI1C;584270
FI1C1;244786
FI1C2;86452
FI1C3;102257
FI1C4;86599
FI1C5;64176
FI1D;639280
FI1D1;71978
FI1D2;123416
FI1D3;80982
FI1D5;34249
FI1D7;88514
FI1D8;35825
FI1D9;204316
FI2;15005
FI20;15005
FI200;15005
FR;34787547
FR1;6363853
FR10;6363853
FR101;1141374
FR102;733043
FR103;744494
FR104;668407
FR105;854765
FR106;843179
FR107;733037
FR108;645554
FRB;1322084
FRB0;1322084
FRB01;154325
FRB02;219868
FRB03;112852
FRB04;316129
FRB05;168751
FRB06;350159
FRC;1435019
FRC1;835145
FRC11;276085
FRC12;104672
FRC13;282666
FRC14;171722
FRC2;599874
FRC21;277465
FRC22;132576
FRC23;119400
FRC24;70433
FRD;1712203
FRD1;755504
FRD11;360519
FRD12;252622
FRD13;142363
FRD2;956699
FRD21;306504
FRD22;650195
FRE;3086761
FRE1;2098007
FRE11;1347458
FRE12;750549
FRE2;988754
FRE21;270917
FRE22;424587
FRE23;293250
FRF;2838696
FRF1;978545
FRF11;588289
FRF12;390256
FRF2;674741
FRF21;136944
FRF22;159516
FRF23;291269
FRF24;87012
FRF3;1185410
FRF31;376184
FRF32;91460
FRF33;532064
FRF34;185702
FRG;1959444
FRG0;1959444
FRG01;742095
FRG02;420361
FRG03;155407
FRG04;289439
FRG05;352142
FRH;1727684
FRH0;1727684
FRH01;310144
FRH02;469689
FRH03;555805
FRH04;392046
FRI;3126055
FRI1;1809438
FRI11;213355
FRI12;852294
FRI13;213873
FRI14;172322
FRI15;357594
FRI2;377795
FRI21;123347
FRI22;59573
FRI23;194875
FRI3;938822
FRI31;180524
FRI32;340004
FRI33;191500
FRI34;226794
FRJ;3076430
FRJ1;1491974
FRJ11;195285
FRJ12;388188
FRJ13;618817
FRJ14;38301
FRJ15;251383
FRJ2;1584456
FRJ21;78230
FRJ22;141301
FRJ23;723561
FRJ24;98019
FRJ25;89615
FRJ26;118863
FRJ27;201503
FRJ28;133364
FRK;4144688
FRK1;707009
FRK11;173906
FRK12;73328
FRK13;115971
FRK14;343804
FRK2;3437679
FRK21;333684
FRK22;167717
FRK23;268793
FRK24;648845
FRK25;395332
FRK26;977630
FRK27;223215
FRK28;422463
FRL;2652237
FRL0;2652237
FRL01;84944
FRL02;71887
FRL03;574113
FRL04;1068851
FRL05;560739
FRL06;291703
FRM;177853
FRM0;177853
FRM01;83559
FRM02;94294
FRX;0
FRXX;0
FRXXX;0
FRY;1164540
FRY1;223985
FRY10;223985
FRY2;195643
FRY20;195643
FRY3;149048
FRY30;149048
FRY4;449875
FRY40;449875
FRY5;145989
FRY50;145989
HR;2086515
HR0;2086515
HR03;698672
HR031;145151
HR032;22085
HR033;84863
HR034;49928
HR035;228447
HR036;106203
HR037;61995
HR04;1387843
HR041;427335
HR042;158185
HR043;63527
HR044;84732
HR045;54306
HR046;55531
HR047;54011
HR048;37592
HR049;33439
HR04A;69613
HR04B;140070
HR04C;76917
HR04D;58628
HR04E;73957
HU;5088736
HU1;1600419
HU11;931167
HU110;931167
HU12;669252
HU120;669252
HU2;1518284
HU21;547313
HU211;215549
HU212;155755
HU213;176009
HU22;513072
HU221;242308
HU222;131589
HU223;139175
HU23;457899
HU231;188951
HU232;157001
HU233;111947
HU3;1970033
HU31;583432
HU311;332163
HU312;153723
HU313;97546
HU32;744548
HU321;272755
HU322;189665
HU323;282128
HU33;642053
HU331;260902
HU332;172198
HU333;208953
HUX;0
HUXX;0
HUXXX;0
IE;2506783
IE0;2506783
IE04;440605
IE041;204408
IE042;236197
IE05;825415
IE051;244363
IE052;221485
IE053;359567
IE06;1240763
IE061;720230
IE062;368215
IE063;152318
IS;177193
IS0;177193
IS00;177193
IS001;114306
IS002;62887
IT;30591392
ITC;8189754
ITC1;2216159
ITC11;1151455
ITC12;87030
ITC13;90389
ITC14;80508
ITC15;187309
ITC16;296829
ITC17;108097
ITC18;214542
ITC2;63913
ITC20;63913
ITC3;794455
ITC31;108288
ITC32;141416
ITC33;432537
ITC34;112214
ITC4;5115227
ITC41;453905
ITC42;303902
ITC43;169732
ITC44;91741
ITC46;558273
ITC47;635626
ITC48;276051
ITC49;115081
ITC4A;180306
ITC4B;206817
ITC4C;1679902
ITC4D;443891
ITF;7019543
ITF1;662198
ITF11;149079
ITF12;155195
ITF13;163749
ITF14;194175
ITF2;152563
ITF21;41969
ITF22;110594
ITF3;2927527
ITF31;466144
ITF32;138911
ITF33;1561537
ITF34;208915
ITF35;552020
ITF4;2029773
ITF43;290476
ITF44;198969
ITF45;406640
ITF46;308977
ITF47;630066
ITF48;194645
ITF5;281104
ITF51;182159
ITF52;98945
ITF6;966378
ITF61;352387
ITF62;84552
ITF63;179085
ITF64;78121
ITF65;272233
ITG;3324273
ITG1;2504348
ITG11;214461
ITG12;631663
ITG13;317536
ITG14;217488
ITG15;132048
ITG16;82641
ITG17;551884
ITG18;159087
ITG19;197540
ITG2;819925
ITG25;165933
ITG26;76618
ITG27;280685
ITG28;79020
ITG29;79832
ITG2A;28083
ITG2B;47877
ITG2C;61877
ITH;5945814
ITH1;269052
ITH10;269052
ITH2;277511
ITH20;277511
ITH3;2489416
ITH31;471006
ITH32;433317
ITH33;103438
ITH34;448664
ITH35;436427
ITH36;477719
ITH37;118845
ITH4;619497
ITH41;157853
ITH42;271112
ITH43;70136
ITH44;120396
ITH5;2290338
ITH51;146008
ITH52;232326
ITH53;268873
ITH54;360433
ITH55;528316
ITH56;178598
ITH57;199209
ITH58;202646
ITH59;173929
ITI;6112008
ITI1;1908237
ITI11;98933
ITI12;197652
ITI13;150809
ITI14;518066
ITI15;131771
ITI16;171874
ITI17;214511
ITI18;173745
ITI19;137483
ITI1A;113393
ITI2;450271
ITI21;334073
ITI22;116198
ITI3;776981
ITI31;182245
ITI32;240984
ITI33;159753
ITI34;106174
ITI35;87825
ITI4;2976519
ITI41;157826
ITI42;77007
ITI43;2214438
ITI44;284529
ITI45;242719
LI;19532
LI0;19532
LI00;19532
LI000;19532
LT;1489736
LT0;1489736
LT01;438645
LT011;438645
LT02;1051091
LT021;71418
LT022;303308
LT023;169407
LT024;71366
LT025;113999
LT026;137812
LT027;48540
LT028;69099
LT029;66142
LU;311144
LU0;311144
LU00;311144
LU000;311144
LV;1026719
LV0;1026719
LV00;1026719
LV003;126946
LV005;137236
LV006;347764
LV007;196982
LV008;97507
LV009;120284
ME;314318
ME0;314318
ME00;314318
ME000;314318
MK;1036539
MK0;1036402
MK00;1036402
MK001;74578
MK002;85974
MK003;109175
MK004;85487
MK005;113101
MK006;160263
MK007;86405
MK008;321419
MKX;137
MKXX;137
MKXXX;137
MT;248802
MT0;248802
MT00;248802
MT001;231837
MT002;16965
NL;8759554
NL1;865635
NL11;293422
NL111;73766
NL112;22927
NL113;196729
NL12;324006
NL124;162359
NL125;67672
NL126;93975
NL13;248207
NL131;96924
NL132;84160
NL133;67123
NL2;1840521
NL21;578650
NL211;186977
NL212;78733
NL213;312940
NL22;1050493
NL221;350237
NL224;122890
NL225;201155
NL226;376211
NL23;211378
NL230;211378
NL3;4213255
NL31;670493
NL310;670493
NL32;1456224
NL321;188393
NL323;100283
NL324;121538
NL325;87438
NL327;131983
NL328;125582
NL329;701007
NL33;1893485
NL332;448353
NL333;113754
NL337;218765
NL33A;205845
NL33B;168418
NL33C;738350
NL34;193053
NL341;52807
NL342;140246
NL4;1840143
NL41;1278269
NL411;320010
NL412;242193
NL413;331134
NL414;384932
NL42;561874
NL421;140321
NL422;118519
NL423;303034
NO;2661018
NO0;2661018
NO01;662547
NO011;347310
NO012;315237
NO02;193009
NO021;98820
NO022;94189
NO03;504041
NO031;149624
NO032;141649
NO033;126250
NO034;86518
NO04;388895
NO041;58590
NO042;93985
NO043;236320
NO05;445688
NO051;260831
NO052;53645
NO053;131212
NO06;228853
NO060;228853
NO061;: 
NO062;: 
NO07;237985
NO071;119417
NO072;81946
NO073;36622
PL;19584757
PL2;4050884
PL21;1734691
PL213;413090
PL214;371153
PL217;230049
PL218;269918
PL219;171276
PL21A;279205
PL22;2316193
PL224;263293
PL225;341373
PL227;318482
PL228;222194
PL229;238635
PL22A;380292
PL22B;350075
PL22C;201849
PL4;3157500
PL41;1785537
PL411;205182
PL414;332342
PL415;284773
PL416;340617
PL417;281228
PL418;341395
PL42;858947
PL424;210295
PL426;180791
PL427;210603
PL428;257258
PL43;513016
PL431;194042
PL432;318974
PL5;1970956
PL51;1485771
PL514;340780
PL515;283270
PL516;227259
PL517;331089
PL518;303373
PL52;485185
PL523;185676
PL524;299509
PL6;2960341
PL61;1057094
PL613;404940
PL616;194888
PL617;182700
PL618;93426
PL619;181140
PL62;714705
PL621;261790
PL622;311388
PL623;141527
PL63;1188542
PL633;395055
PL634;297909
PL636;167796
PL637;112416
PL638;215366
PL7;1902338
PL71;1278106
PL711;370141
PL712;202633
PL713;296960
PL714;224757
PL715;183615
PL72;624232
PL721;386501
PL722;237731
PL8;2727383
PL81;1075916
PL811;150074
PL812;312603
PL814;373202
PL815;240037
PL82;1062535
PL821;239124
PL822;194804
PL823;324622
PL824;303985
PL84;588932
PL841;263236
PL842;192586
PL843;133110
PL9;2815355
PL91;1634748
PL911;964468
PL912;333514
PL913;336766
PL92;1180607
PL921;307492
PL922;171012
PL923;166870
PL924;191215
PL925;211157
PL926;132861
PT;5435932
PT1;5175435
PT11;1887621
PT111;123807
PT112;212471
PT119;215504
PT11A;916894
PT11B;45689
PT11C;215901
PT11D;100843
PT11E;56512
PT15;229443
PT150;229443
PT16;1165927
PT16B;186800
PT16D;191024
PT16E;229763
PT16F;148923
PT16G;133026
PT16H;42178
PT16I;122444
PT16J;111769
PT17;1525852
PT170;1525852
PT18;366592
PT181;47685
PT184;60049
PT185;124027
PT186;55006
PT187;79825
PT2;124912
PT20;124912
PT200;124912
PT3;135585
PT30;135585
PT300;135585
RO;9868177 e
RO1;2481266 e
RO11;1302865 e
RO111;285809 e
RO112;139550 e
RO113;367243 e
RO114;233394 e
RO115;170189 e
RO116;106680 e
RO12;1178401 e
RO121;163908 e
RO122;283817 e
RO123;101503 e
RO124;152323 e
RO125;270874 e
RO126;205976 e
RO2;2810268 e
RO21;1599851 e
RO211;293695 e
RO212;188525 e
RO213;397880 e
RO214;222091 e
RO215;313268 e
RO216;184392 e
RO22;1210417 e
RO221;145420 e
RO222;207612 e
RO223;345627 e
RO224;254020 e
RO225;96007 e
RO226;161731 e
RO3;2700617 e
RO31;1471483 e
RO311;293706 e
RO312;141718 e
RO313;245297 e
RO314;131758 e
RO315;128502 e
RO316;364598 e
RO317;165904 e
RO32;1229134 e
RO321;981404 e
RO322;247730 e
RO4;1876026 e
RO41;969454 e
RO411;317250 e
RO412;157263 e
RO413;120850 e
RO414;197011 e
RO415;177080 e
RO42;906572 e
RO421;212826 e
RO422;137554 e
RO423;193510 e
RO424;362682 e
RS;3552066
RS1;1841588
RS11;895291
RS110;895291
RS12;946297
RS121;86680
RS122;140428
RS123;320472
RS124;68736
RS125;91925
RS126;88000
RS127;150056
RS2;1710478
RS21;962939
RS211;133162
RS212;81290
RS213;139223
RS214;100565
RS215;100715
RS216;111680
RS217;153211
RS218;143093
RS22;747539
RS221;56320
RS222;84182
RS223;53599
RS224;98777
RS225;183116
RS226;40960
RS227;93036
RS228;96771
RS229;40778
SE;5131775
SE1;2044938
SE11;1187065
SE110;1187065
SE12;857873
SE121;191492
SE122;148102
SE123;229569
SE124;151954
SE125;136756
SE2;2219920
SE21;429377
SE211;179340
SE212;98677
SE213;121490
SE214;29870
SE22;767923
SE221;78182
SE224;689741
SE23;1022620
SE231;166348
SE232;856272
SE3;866917
SE31;425219
SE311;140134
SE312;142325
SE313;142760
SE32;185861
SE321;121365
SE322;64496
SE33;255837
SE331;134030
SE332;121807
SI;1044795
SI0;1044795
SI03;544791
SI031;57703
SI032;161882
SI033;34927
SI034;127240
SI035;28739
SI036;37328
SI037;71118
SI038;25854
SI04;500004
SI041;280521
SI042;103005
SI043;58365
SI044;58113
SK;2792523
SK0;2792523
SK01;350480
SK010;350480
SK02;931464
SK021;288179
SK022;297364
SK023;345921
SK03;683392
SK031;351550
SK032;331842
SK04;827187
SK041;417456
SK042;409731
TR;41433861
TR1;7729011
TR10;7729011
TR100;7729011
TR2;1778337
TR21;893131
TR211;512766
TR212;203599
TR213;176766
TR22;885206
TR221;615146
TR222;270060
TR3;5315936
TR31;2192932
TR310;2192932
TR32;1560378
TR321;558346
TR322;519492
TR323;482540
TR33;1562626
TR331;715373
TR332;367036
TR333;294237
TR334;185980
TR4;4045079
TR41;2076404
TR411;1525164
TR412;443840
TR413;107400
TR42;1968675
TR421;964937
TR422;513650
TR423;195672
TR424;159349
TR425;135067
TR5;4095263
TR51;2845226
TR510;2845226
TR52;1250037
TR521;1123406
TR522;126631
TR6;5291184
TR61;1604546
TR611;1246529
TR612;223598
TR613;134419
TR62;2041739
TR621;1120908
TR622;920831
TR63;1644899
TR631;810896
TR632;567486
TR633;266517
TR7;2038426
TR71;806157
TR711;141152
TR712;208977
TR713;180684
TR714;152963
TR715;122381
TR72;1232269
TR721;701864
TR722;319332
TR723;211073
TR8;2343508
TR81;524729
TR811;300221
TR812;124167
TR813;100341
TR82;396580
TR821;190158
TR822;97106
TR823;109316
TR83;1422199
TR831;679487
TR832;307809
TR833;267510
TR834;167393
TR9;1348360
TR90;1348360
TR901;408251
TR902;377265
TR903;224978
TR904;171641
TR905;84900
TR906;81325
TRA;1079548
TRA1;538847
TRA11;382169
TRA12;114841
TRA13;41837
TRA2;540701
TRA21;258312
TRA22;138742
TRA23;97025
TRA24;46622
TRB;1933299
TRB1;876171
TRB11;401916
TRB12;297683
TRB13;137994
TRB14;38578
TRB2;1057128
TRB21;558713
TRB22;200275
TRB23;168292
TRB24;129848
TRC;4435910
TRC1;1404888
TRC11;1024565
TRC12;310353
TRC13;69970
TRC2;1897813
TRC21;1027650
TRC22;870163
TRC3;1133209
TRC31;417855
TRC32;302398
TRC33;251887
TRC34;161069